FID,FRS_FACILI,REGISTRY_I,PRIMARY_NA,LOCATION_A,SUPPLEMENT,CITY_NAME,COUNTY_NAM,FIPS_CODE,STATE_CODE,STATE_NAME,COUNTRY_NA,POSTAL_COD,FEDERAL_FA,FEDERAL_AG,TRIBAL_LAN,TRIBAL_L_1,CONGRESSIO,CENSUS_BLO,HUC_CODE,EPA_REGION,SITE_TYPE_,LOCATION_D,CREATE_DAT,UPDATE_DAT,US_MEXICO_,PGM_SYS_AC,INTEREST_T,NAICS_CODE,NAICS_CO_1,SIC_CODES,SIC_CODE_D,LATITUDE83,LONGITUDE8,CONVEYOR,COLLECT_DE,ACCURACY_V,REF_POINT_,HDATUM_DES,SOURCE_DES,POINT_X,POINT_Y
0,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110050512021,110050512021.000000000000000,JOHNSON & JOHNSON - JOHNSON & JOHNSON,-, ,-,-, ,PR,PUERTO RICO,UNITED STATES,00000, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 19:52:24,02-FEB-2015 23:03:33, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,0.000000000000000,0.000000000000000
1,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110048880083,110048880083.000000000000000,ADJUNTAS URBANO - RIO GARZAS,PR-10 R518 HM 1, ,ADJUNTAS,ADJUNTAS,72001,PR,PUERTO RICO,UNITED STATES,00601, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 14:27:06,28-JUN-2016 16:56:21, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,0.000000000000000,0.000000000000000
2,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110048879576,110048879576.000000000000000,ADJUNTAS URBANO - RIO OLIMPIA,PR-10 R518 HM 1, ,ADJUNTAS,ADJUNTAS,72001,PR,PUERTO RICO,UNITED STATES,00601, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 14:27:04,28-JUN-2016 15:22:07, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,0.000000000000000,0.000000000000000
3,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110052483273,110052483273.000000000000000,ASOCIACION ACUEDUCTO REVENTON - REVENTON,PR-388 KM 3.1 BO SALTILLO,SECTOR REVENTON,ADJUNTAS,ADJUNTAS,72001,PR,PUERTO RICO,UNITED STATES,00601, , , , ,98,721117302001000.000000000000000,21010004,2,STATIONARY, ,27-OCT-2012 11:42:07,08-OCT-2016 10:23:46, ,"ICIS, SFDW","COMMUNITY WATER SYSTEM, FORMAL ENFORCEMENT ACTION, WATER TREATMENT PLANT",0, ,4941,WATER SUPPLY,18.101396999999999,-66.723872000000000,REGION02,ADDRESS MATCHING-NEAREST INTERSECTION,1000,PLANT ENTRANCE (GENERAL),NAD83, ,-66.723872000000000,18.101396999999999
4,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110052483111,110052483111.000000000000000,GARZAS JUNCOS - GARZAS JUNCOS,PR-518 (AL LADO DE ESCUELAS),KM. 8.7 BO. GARZAS JUNCOS,ADJUNTAS,ADJUNTAS,72001,PR,PUERTO RICO,UNITED STATES,00601, , , , ,0,0.000000000000000,0,2,STATIONARY, ,27-OCT-2012 11:42:04,28-JUN-2016 15:22:05, ,SFDW,"COMMUNITY WATER SYSTEM, WATER TREATMENT PLANT",0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,0.000000000000000,0.000000000000000
5,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110050320540,110050320540.000000000000000,GUILARTE HELECHALES - GUILARTE,PR-131 KM 2.11 INT,(CAMINO AL LADO DE ESCUELA),ADJUNTAS,ADJUNTAS,72001,PR,PUERTO RICO,UNITED STATES,00601, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 19:04:57,28-JUN-2016 16:56:18, ,SFDW,"COMMUNITY WATER SYSTEM, WATER TREATMENT PLANT",0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,0.000000000000000,0.000000000000000
6,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110018922479,110018922479.000000000000000,JOSE B. BARCELO VOCATIONAL SCHOOL,PR-518 KM 1.1 BO SALTILLO, ,ADJUNTAS,ADJUNTAS,72001,PR,PUERTO RICO,UNITED STATES,00601, , , , ,98,720019565001000.000000000000000,21010002,2,STATIONARY, ,16-NOV-2004 15:19:33,28-FEB-2016 11:05:16, ,"ICIS, SFDW","COMMUNITY WATER SYSTEM, ENFORCEMENT/COMPLIANCE ACTIVITY",0, , , ,18.145441000000002,-66.759135999999998,REGION02,INTERPOLATION - DIGITAL MAP SRCE (TIGER),1000, ,NAD83, ,-66.759135999999998,18.145441000000002
7,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110052483175,110052483175.000000000000000,JUAN GONZALEZ - JUAN GONZALEZ,PR-523 KM 1.5,BO.JUAN GONZALEZ,ADJUNTAS,ADJUNTAS,72001,PR,PUERTO RICO,UNITED STATES,00601, , , , ,0,0.000000000000000,0,2,STATIONARY, ,27-OCT-2012 11:42:05,28-JUN-2016 15:22:05, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,0.000000000000000,0.000000000000000
8,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110049794095,110049794095.000000000000000,LAS CRUCES - LAS CRUCES,PR-524 BO PELLEJAS,SECTOR LAS CRUCES,ADJUNTAS,ADJUNTAS,72001,PR,PUERTO RICO,UNITED STATES,00601, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 17:03:43,28-JUN-2016 17:10:22, ,SFDW,"COMMUNITY WATER SYSTEM, WATER TREATMENT PLANT",0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,0.000000000000000,0.000000000000000
9,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110010605489,110010605489.000000000000000,PALOMO Y CRUCEROS COMMUNITY,PR-131 KM 8.0, ,ADJUNTAS,ADJUNTAS,72001,PR,PUERTO RICO,UNITED STATES,00601, , , , ,0,0.000000000000000,0,2,STATIONARY, ,01-MAR-2000 00:00:00,28-JUN-2016 15:22:04, ,"ICIS, SFDW","COMMUNITY WATER SYSTEM, FORMAL ENFORCEMENT ACTION, WATER TREATMENT PLANT",0, ,4941,WATER SUPPLY,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,0.000000000000000,0.000000000000000
