FID,FRS_FACILI,REGISTRY_I,PRIMARY_NA,LOCATION_A,SUPPLEMENT,CITY_NAME,COUNTY_NAM,FIPS_CODE,STATE_CODE,STATE_NAME,COUNTRY_NA,POSTAL_COD,FEDERAL_FA,FEDERAL_AG,TRIBAL_LAN,TRIBAL_L_1,CONGRESSIO,CENSUS_BLO,HUC_CODE,EPA_REGION,SITE_TYPE_,LOCATION_D,CREATE_DAT,UPDATE_DAT,US_MEXICO_,PGM_SYS_AC,INTEREST_T,NAICS_CODE,NAICS_CO_1,SIC_CODES,SIC_CODE_D,LATITUDE83,LONGITUDE8,CONVEYOR,COLLECT_DE,ACCURACY_V,REF_POINT_,HDATUM_DES,SOURCE_DES,Lat,Long,POINT_X,POINT_Y
0,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110050512021,110050512021.000000000000000,JOHNSON & JOHNSON - JOHNSON & JOHNSON,-, ,-,-, ,PR,PUERTO RICO,UNITED STATES,00000, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 19:52:24,02-FEB-2015 23:03:33, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
1,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110048880083,110048880083.000000000000000,ADJUNTAS URBANO - RIO GARZAS,PR-10 R518 HM 1, ,ADJUNTAS,ADJUNTAS,72001,PR,PUERTO RICO,UNITED STATES,00601, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 14:27:06,28-JUN-2016 16:56:21, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
2,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110048879576,110048879576.000000000000000,ADJUNTAS URBANO - RIO OLIMPIA,PR-10 R518 HM 1, ,ADJUNTAS,ADJUNTAS,72001,PR,PUERTO RICO,UNITED STATES,00601, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 14:27:04,28-JUN-2016 15:22:07, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
3,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110052483175,110052483175.000000000000000,JUAN GONZALEZ - JUAN GONZALEZ,PR-523 KM 1.5,BO.JUAN GONZALEZ,ADJUNTAS,ADJUNTAS,72001,PR,PUERTO RICO,UNITED STATES,00601, , , , ,0,0.000000000000000,0,2,STATIONARY, ,27-OCT-2012 11:42:05,28-JUN-2016 15:22:05, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
4,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110048750687,110048750687.000000000000000,SALTILLO VACA - SALTILLO VACAS,PR-10 R518 KM.5, ,ADJUNTAS,ADJUNTAS,72001,PR,PUERTO RICO,UNITED STATES,00601, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 14:17:33,28-JUN-2016 16:56:20, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
5,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110048750865,110048750865.000000000000000,TANAMA - TANAMA RIVER,PR-526 KM 7.1, ,ADJUNTAS,ADJUNTAS,72001,PR,PUERTO RICO,UNITED STATES,00601, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 14:17:34,28-JUN-2016 17:26:21, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
6,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110050562994,110050562994.000000000000000,COM. AISLADA EN DESARROLLO-COM. AISLADA DESARROLLO,PR-417 KM 7.7,BO. CERRO GORDO,AGUADA,AGUADA, ,PR,PUERTO RICO,US,00602, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 20:04:05,28-JUN-2016 12:49:10, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
7,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110052180322,110052180322.000000000000000,COMUNIDAD GAVINO NEGRON-CERRO GORDO,PR-2 KM 139.2 INT. 419,BO.CERRO GORDO,AGUADA,AGUADA, ,PR,PUERTO RICO,US,00602, , , , ,0,0.000000000000000,0,2,STATIONARY, ,27-OCT-2012 10:27:25,28-JUN-2016 17:30:30, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
8,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110050563190,110050563190.000000000000000,PROYECTO AGUAS-PROYECTO AGUAS,PR-2 KM 137.5,BO. LAGUNAS,AGUADA,AGUADA, ,PR,PUERTO RICO,US,00602, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 20:04:09,28-JUN-2016 13:49:32, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
9,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110050513048,110050513048.000000000000000,QUEBRADA LARGA-QUEBRADA LARGA,PR-2 KM 139.5 RAMAL 191,SECTOR QUEBRADA LARGA,AGUADA,AGUADA, ,PR,PUERTO RICO,US,00602, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 19:52:36,28-JUN-2016 15:00:27, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
10,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110050039944,110050039944.000000000000000,AGUADILLA - AGUADILLA CHANNEL (MAIN),PR-459 KM 0.3, ,AGUADILLA,AGUADILLA, ,PR,PUERTO RICO,UNITED STATES,00647, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 18:04:04,28-JUN-2016 12:48:25, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
11,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110050065861,110050065861.000000000000000,AGUADILLA - ATALAYA WATER SYSTEM,PR-459 KM 0.3, ,AGUADILLA,AGUADILLA, ,PR,PUERTO RICO,UNITED STATES,00647, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 18:09:38,28-JUN-2016 14:59:09, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
12,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110050065567,110050065567.000000000000000,AGUADILLA - CLOTILDE CHAPARRO,PR-459 KM 0.3, ,AGUADILLA,AGUADILLA, ,PR,PUERTO RICO,UNITED STATES,00647, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 18:09:34,28-JUN-2016 11:47:30, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
13,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110050065362,110050065362.000000000000000,AGUADILLA - CULEBRINAS RIVER,PR-459 KM 0.3, ,AGUADILLA,AGUADILLA, ,PR,PUERTO RICO,UNITED STATES,00647, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 18:09:31,28-JUN-2016 13:45:45, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
14,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110050065745,110050065745.000000000000000,AGUADILLA - FEY ALERS (LAGUNA),PR-459 KM 0.3, ,AGUADILLA,AGUADILLA, ,PR,PUERTO RICO,UNITED STATES,00647, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 18:09:36,28-JUN-2016 11:47:30, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
